Frequency (Hz)	Level (dB)
195.144653	-71.419403
195.817566	-79.579369
196.490479	-78.911850
197.163391	-80.769684
197.836304	-70.594040
198.509216	-77.530426
199.182129	-66.119003
199.855042	-82.384895
200.527954	-67.990334
201.200867	-68.185913
201.873779	-66.951073
202.546692	-66.672005
203.219604	-66.833069
203.892517	-65.853012
204.565430	-67.262604
205.238342	-65.833214
205.911255	-64.216835
206.584167	-70.151909
207.257080	-66.790741
207.929993	-62.711990
208.602905	-63.723679
209.275818	-70.928246
209.948730	-59.188808
210.621643	-60.025375
211.294556	-67.708939
211.967468	-78.685509
212.640381	-68.363976
213.313293	-64.407166
213.986206	-68.124924
214.659119	-63.432877
215.332031	-59.460712
216.004944	-61.247967
216.677856	-61.830448
217.350769	-60.502869
218.023682	-49.624687
218.696594	-44.921906
219.369507	-36.636318
220.042419	-28.646994
220.715332	-28.540955
221.388245	-35.589928
222.061157	-43.497452
222.734070	-55.260551
223.406982	-53.555367
224.079895	-56.776806
224.752808	-49.992825
225.425720	-52.161968
226.098633	-59.062435
226.771545	-72.104538
227.444458	-63.348648
228.117371	-56.257942
228.790283	-58.702721
229.463196	-62.246586
230.136108	-64.279350
230.809021	-77.090752
231.481934	-82.512276
232.154846	-66.459473
232.827759	-77.286880
233.500671	-63.205875
234.173584	-60.533745
234.846497	-61.428303
235.519409	-68.840599
236.192322	-72.064240
236.865234	-74.466660
237.538147	-67.105194
238.211060	-74.417412
238.883972	-72.513863
239.556885	-67.083557
240.229797	-69.407173
240.902710	-80.882271
241.575623	-88.707878
242.248535	-88.011818
242.921448	-75.482674
243.594360	-69.532478
244.267273	-70.706421
244.940186	-72.511948
245.613098	-77.807861
246.286011	-79.209785
246.958923	-70.994263
247.631836	-77.051361
248.304749	-79.642029
248.977661	-85.742218
249.650574	-79.026886
250.323486	-75.266479
250.996399	-69.529533
251.669312	-68.194427
252.342224	-72.995560
253.015137	-83.438286
253.688049	-76.987717
254.360962	-80.879044
255.033875	-84.540779
255.706787	-82.214027
256.379700	-88.051781
257.052612	-77.447960
257.725525	-78.006035
258.398438	-78.491005
259.071350	-74.776352
259.744263	-75.504997
260.417175	-86.412117
261.090088	-73.992645
261.763000	-73.830956
262.435913	-70.781387
263.108826	-69.766342
263.781738	-75.524734
264.454651	-79.443611
265.127563	-77.245399
265.800476	-76.284760
266.473389	-78.554535
267.146301	-79.271500
267.819214	-83.375839
268.492126	-83.237976
269.165039	-91.166481
269.837952	-75.052361
270.510864	-78.301788
271.183777	-77.867233
271.856689	-75.712875
272.529602	-89.855621
273.202515	-82.655151
273.875427	-90.213394
274.548340	-82.788834
275.221252	-78.384422
275.894165	-84.241982
276.567078	-79.864845
277.239990	-74.944237
277.912903	-82.664139
278.585815	-78.177063
279.258728	-74.241249
279.931641	-75.202148
280.604553	-79.010109
281.277466	-77.197136
281.950378	-71.586418
282.623291	-73.795288
283.296204	-77.154663
283.969116	-71.693642
284.642029	-74.649223
285.314941	-73.309074
285.987854	-72.180748
286.660767	-72.112755
287.333679	-76.656891
288.006592	-81.226517
288.679504	-83.327278
289.352417	-89.657829
290.025330	-79.815559
290.698242	-76.103294
291.371155	-78.056038
292.044067	-82.101372
292.716980	-83.102135
293.389893	-90.331131
294.062805	-92.311188
294.735718	-75.026291
295.408630	-75.403900
296.081543	-79.268684
296.754456	-81.370583
297.427368	-75.788391
298.100281	-81.725067
298.773193	-82.221939
299.446106	-83.154091
300.119019	-78.096352
300.791931	-76.731476
301.464844	-80.917274
302.137756	-82.458153
302.810669	-96.144608
303.483582	-76.827293
304.156494	-75.590065
304.829407	-80.950546
305.502319	-82.480339
306.175232	-79.368935
306.848145	-82.186607
307.521057	-89.341743
308.193970	-78.303604
308.866882	-90.707108
309.539795	-76.067848
310.212708	-73.862007
310.885620	-73.749031
311.558533	-74.585518
312.231445	-66.019943
312.904358	-66.131348
313.577271	-71.555649
314.250183	-74.115494
314.923096	-75.613335
315.596008	-78.786369
316.268921	-74.132416
316.941833	-71.764923
317.614746	-71.836182
318.287659	-69.200851
318.960571	-71.162720
319.633484	-75.333504
320.306396	-72.406479
320.979309	-89.147820
321.652222	-71.086014
322.325134	-72.350563
322.998047	-80.487206
323.670959	-89.642159
324.343872	-78.956299
325.016785	-80.250832
325.689697	-71.665565
326.362610	-69.031754
327.035522	-74.699509
327.708435	-85.776489
328.381348	-63.994305
329.054260	-50.493629
329.727173	-47.135181
330.400085	-53.420258
331.072998	-56.135361
331.745911	-68.669258
332.418823	-66.614899
333.091736	-64.064980
333.764648	-75.318314
334.437561	-66.366417
335.110474	-68.321785
335.783386	-72.667572
336.456299	-78.819221
337.129211	-81.102463
337.802124	-81.217651
338.475037	-78.585976
339.147949	-77.009789
339.820862	-80.381729
340.493774	-77.821861
341.166687	-81.147888
341.839600	-74.776886
342.512512	-75.811127
343.185425	-78.748634
343.858337	-76.747749
344.531250	-72.576111
345.204163	-74.639793
345.877075	-88.631157
346.549988	-76.426552
347.222900	-81.798477
347.895813	-87.469330
348.568726	-75.238533
349.241638	-72.939972
349.914551	-77.324760
350.587463	-77.182396
351.260376	-74.157372
351.933289	-75.191147
352.606201	-81.648697
353.279114	-98.249062
353.952026	-79.535469
354.624939	-76.729759
355.297852	-89.671021
355.970764	-80.944687
356.643677	-85.117737
357.316589	-84.436203
357.989502	-80.046364
358.662415	-75.717087
359.335327	-68.794334
360.008240	-72.372231
360.681152	-87.398132
361.354065	-85.600677
362.026978	-75.225456
362.699890	-75.823524
363.372803	-78.730148
364.045715	-75.139328
364.718628	-73.013680
365.391541	-74.770699
366.064453	-75.084892
366.737366	-79.470238
367.410278	-78.075539
368.083191	-75.088867
368.756104	-75.206551
369.429016	-80.676369
370.101929	-83.448273
370.774841	-79.161407
371.447754	-85.180901
372.120667	-83.257668
372.793579	-75.502525
373.466492	-77.534889
374.139404	-78.766510
374.812317	-74.537483
375.485229	-73.199562
376.158142	-76.553223
376.831055	-81.404762
377.503967	-83.722084
378.176880	-77.781166
378.849792	-76.778694
379.522705	-84.231384
380.195618	-84.535355
380.868530	-80.760910
381.541443	-84.677040
382.214355	-76.496292
382.887268	-72.982910
383.560181	-79.870857
384.233093	-88.818214
384.906006	-74.682625
385.578918	-70.218246
386.251831	-74.374634
386.924744	-86.720528
387.597656	-78.247704
388.270569	-80.758202
388.943481	-78.211685
389.616394	-76.066200
390.289307	-69.904190
390.962219	-70.077881
391.635132	-73.031967
392.308044	-73.483856
392.980957	-75.366638
393.653870	-74.068726
394.326782	-76.433479
394.999695	-81.372742
395.672607	-82.168365
396.345520	-77.775330
397.018433	-76.154831
397.691345	-78.313087
398.364258	-81.744385
399.037170	-78.739922
399.710083	-80.479790
400.382996	-83.310730
401.055908	-87.700928
401.728821	-77.224022
402.401733	-80.551437
403.074646	-76.381859
403.747559	-70.680840
404.420471	-69.287544
405.093384	-67.958168
405.766296	-72.365356
406.439209	-83.052094
407.112122	-78.378983
407.785034	-68.414772
408.457947	-68.077644
409.130859	-70.296028
409.803772	-71.282913
410.476685	-72.153191
411.149597	-73.512314
411.822510	-70.546722
412.495422	-67.182114
413.168335	-71.149796
413.841248	-68.770538
414.514160	-66.246536
415.187073	-70.454491
415.859985	-94.390663
416.532898	-75.559952
417.205811	-71.805794
417.878723	-71.720795
418.551636	-82.122086
419.224548	-70.177742
419.897461	-68.587616
420.570374	-82.851395
421.243286	-68.795578
421.916199	-70.972336
422.589111	-72.855560
423.262024	-69.205750
423.934937	-79.449615
424.607849	-69.910019
425.280762	-65.889122
425.953674	-69.514938
426.626587	-68.116440
427.299500	-65.892357
427.972412	-76.091431
428.645325	-62.252640
429.318237	-60.373600
429.991150	-64.547943
430.664062	-62.321487
431.336975	-79.898003
432.009888	-59.303989
432.682800	-60.183254
433.355713	-48.244293
434.028625	-51.384808
434.701538	-64.571541
435.374451	-54.453815
436.047363	-46.569969
436.720276	-43.610905
437.393188	-38.123917
438.066101	-32.689838
438.739014	-27.267790
439.411926	-33.788879
440.084839	-24.412590
440.757751	-29.347168
441.430664	-29.811642
442.103577	-32.903976
442.776489	-40.172207
443.449402	-42.746292
444.122314	-50.331944
444.795227	-56.039394
445.468140	-71.462791
446.141052	-54.890488
446.813965	-52.717247
447.486877	-53.055332
448.159790	-63.673691
448.832703	-62.290920
449.505615	-62.015331
450.178528	-76.169533
450.851440	-64.509514
451.524353	-58.994762
452.197266	-58.747616
452.870178	-65.629356
453.543091	-75.010681
454.216003	-67.789803
454.888916	-67.277634
455.561829	-66.223244
456.234741	-71.230324
456.907654	-76.233269
457.580566	-78.194298
458.253479	-64.413300
458.926392	-64.851830
459.599304	-71.694214
460.272217	-70.917870
460.945129	-79.206787
461.618042	-74.366241
462.290955	-68.877754
462.963867	-65.579353
463.636780	-64.870583
464.309692	-63.882645
464.982605	-65.917458
465.655518	-69.289673
466.328430	-71.837662
467.001343	-73.259041
467.674255	-69.657524
468.347168	-74.295273
469.020081	-80.425781
469.692993	-74.671028
